,drugName,condition,Side_Effect,effectiveness
578,Cryselle," 1 2  Abnormal Uterine Bleeding, Birth Control, Endometriosis","anger, fall, tired, vomiting, constipation, sweat, exhaustion, suicidal, blood test, fibroadenoma, panic, elation, pain, nausea and vomiting, stress, aura, ache, crying, nausea, fatigue, nightmare, weight gain, cough, dizziness, dizzy spells, worry, moody, withdraw, headache, birth control, redness",39.45%
579,Cutar,"Dermatitis, Seborrheic Dermatitis",,55.18%
580,Cuvitru,Primary Immunodeficiency Syndrome,,71.75%
581,Cyanocobalamin,"B12 Nutritional Deficiency, Schilling Test, Vitamin B12 Deficiency","tired, pain, fatigue, panic",66.03%
582,Cyclizine,"Motion Sickness, Nausea/Vomiting","fall, nausea, panic, vomiting, pain, nausea and vomiting, sweat, adverse reaction, gag, surgery",29.19%
583,Cyclobenzaprine,"Chronic Myofascial Pain, Migraine, Muscle Spasm, Not Listed / Othe, Sciatica, Temporomandibular Joint Disorde, ibromyalgia, t Pac with Cyclobenzaprine (cyclobenzaprine)","sleepy, seizure, muscle injury, anger, fall, tired, vomiting, pain management, constipation, sweat, drool, myalgia, surgery, drowsiness, numbness, scar tissue, sciatica, panic, traction, pain, tremor, stress, aura, ache, Surgery, Migraine, bladder spasm, yawning, hangover, diarrhea, unable to concentrate, crying, nausea, fatigue, nightmare, retch, difficulty, dizziness, oral surgery, stiffness, Constipation, dizzy spells, spasm, flare, headache, lightheadedness, Necrosis, Pain, groggy, lethargy, opiates, Disability, redness",44.17%
584,Cyclogyl,Uveitis,"spasm, panic, uncoordination, pain, tremor",40.00%
585,Cyclophosphamide,"Multiple Sclerosis, Ovarian Cance","pain, seizure, ache",23.98%
586,Cyclosporine,"Eczema, Idiopathic Thrombocytopenic Purpura, Keratoconjunctivitis Sicca, Psoriasis, Ulcerative Colitis, Active","tired, vomiting, endoscopy, biopsy, staring, surgery, wheezing, transfusion, feeling abnormal, pain, stress, ache, scratch, diarrhea, colonoscopy, difficulty, dizziness, spasm, withdraw, flare, headache, corneal scar, redness",40.85%
587,Cyklokapron,"Bleeding Disorde, actor IX Deficiency",Angioedema,73.56%
588,Cylert,ADHD,elation,70.87%
589,Cyproheptadine,"Allergic Reactions, Allergic Rhinitis, Anorexia, Cluster Headaches, Migraine, Not Listed / Othe, Sexual Dysfunction, SSRI Induced, Urticaria, ailure to Thrive","sleepy, seizure, fall, tired, vomiting, redness, sweat, agitation, drowsiness, blood test, panic, overweight, Hunger, pain, stress, hypersomnolence, aura, ache, Migraine, unhappy, nausea, weight gain, anorexia, underweight, headache, increased appetite",62.07%
590,Cyred,Birth Control,"birth control, palpitation, pain, moody",32.69%
591,Cytomel,"Hypothyroidism, After Thyroid Removal, Underactive Thyroid","palpitation, hot flush, blood test, headache, shortness of breath, fatigue, Hypothyroidism, Anxiety, weight gain, terrify, pain, constipation, dizziness, sweat, tremor, Depression, ache, exhaustion",61.45%
592,Cytotec,Abortion,"pain, unwanted pregnancy, traction",72.50%
593,Cytoxan,"Brain Tum, Chronic Myelogenous Leukemia, Wegener's Granulomatosis","transfusion, pain, flare",72.94%
594,D.H.E. 45,"Cluster Headaches, Migraine","headache, ache, nausea, Migraine",59.17%
595,DDAVP,"Diabetes Insipidus, Primary Nocturnal Enuresis",surgery,71.78%
596,DDAVP Rhinal Tube,Diabetes Insipidus,,62.63%
597,Dabigatran,"Deep Vein Thrombosis, Prevention of Thromboembolism in Atrial Fibrillation, Pulmonary Embolism","blood test, scratch, diarrhea, tired, headache, nausea, flatulence, weight gain, gurgle, heartburn, pain, constipation, dizziness, swelling, ache, surgery",51.84%
598,Dabrafenib,"Melanoma, Metastatic","Nausea, pain, blood test",68.25%
599,Daclatasvir,Hepatitis C,"sleepy, palpitation, blood test, headache, scab, pain, viral load, ache",71.10%
600,Dalfampridine,Multiple Sclerosis,"heavy legs, seizure, numbness, physiotherapy, spasm, crying, fall, headache, nausea, fatigue, tired, cough, difficulty, pain, vertigo, dizziness, constipation, ache",65.45%
601,Daliresp,"COPD, COPD, Maintenance","diarrhea, flare, headache, nausea, shortness of breath, panic, vomiting, cough, pain, constipation, sweat, tremor, essential tremor, swelling, ache, wheezing",50.89%
602,Dallergy,"Nasal Congestion, Rhinitis","headache, ache",58.16%
603,Dalmane,Insomnia,"hangover, withdraw, anger, tired, headache, blackout, nightmare, ache, drowsiness, hysterectomy",61.92%
604,Damiana,Erectile Dysfunction,"headache, ache, worry",79.67%
605,Danazol,"Angioedema, Endometriosis, ibrocystic Breast Disease","frustration, mammogram, fatigue, weight gain, birth control, pain, swelling, exhaustion",55.77%
606,Dantrolene,Chronic Spasticity,"spasm, drowsiness",74.50%
607,Dapagliflozin,"Diabetes, Type 2","dizziness, weight gain",27.19%
608,Dapsone,"Acne, Leukocytoclastic Vasculitis, Linear IgA Disease, Pemphigoid, mis","Vasculitis, blood test, flare, transfusion, Dermatitis, scab, pain, welt, biopsy",58.71%
609,Daraprim,Malaria Prevention,"bite, malaria",61.46%
610,Darbepoetin alfa,"Anemia Associated with Chronic Renal Failure, Anemia, Chemotherapy Induced","headache, blood count, fatigue, pain, ache",61.27%
611,Darunavir,HIV Infection,,67.68%
612,Darvocet A500, Pain,"sleepy, ache, pain, oral surgery, myalgia, surgery",45.05%
613,Darvocet-N 50,1 Pain,"pain, myalgia, dizziness, drowsiness",45.88%
614,Darvon,Pain,"prophylaxis, pain, traction",55.38%
615,Dasatinib,"Chronic Myelogenous Leukemia, Not Listed / Othe","transfusion, tired, headache, nausea, difficulty, pain, vertigo, dizziness, constipation, ache",62.96%
616,Daypro,"Osteoarthritis, Rheumatoid Arthritis","pain, dizziness",49.14%
617,Daytrana, ADHD,"scratch, seizure, withdraw, tanning, fall, headache, nausea, tired, elation, nightmare, weight gain, aggression, difficulty, worry, sweat, stress, ache, autism, anxiety disorder, redness",61.24%
618,Dazidox,Chronic Pain,"pain, breakthrough pain",72.00%
619,Decadron,"Allergic Rhinitis, Asthma, Croup, Dermatitis Herpetiformis, Inflammatory Conditions, Multiple Sclerosis","diarrhea, anger, headache, vomiting, stridor, difficulty, pain, Headache, ache",46.61%
620,Deconamine,Allergic Rhinitis,"cough, fall",69.92%
621,Dehydroepiandrosterone,Dietary Supplementation,,56.50%
622,Delatestryl,"Hypogonadism, Male","pain, lethargy",68.63%
623,Delsym,Cough,"tired, vomiting, gurgle, sweat, blood test, panic, traction, pain, ache, Cough, scratch, diarrhea, crying, nausea, blackout, cough, colonoscopy, dizziness, chill, palpitation, barking cough, headache, shortness of breath, dry throat",21.52%
624,Delsym 12 Hour Cough Relief,Cough,"diarrhea, fall, nausea, cough, difficulty, pain, wheezing",36.26%
625,Demeclocycline,SIADH,"hyponatremia, adverse effect",56.81%
626,Denosumab,"Hypercalcemia of Malignancy, Osteolytic Bone Metastases of Solid Tumors, Osteoporosis","chest tightness, withdraw, anger, tired, ache, pain, myalgia",15.64%
627,Deoxycholic acid,Submental Fullness,"headache, ache",38.59%
628,Deplin,"1 3 4 Borderline Personality Disorde, Depression, lic Acid Deficiency","adverse effect, anger, fall, tired, muscle twitch, mental disorder, Stress, agitation, myalgia, no adverse effect, suicidal, Autism, blood test, panic, pain, adverse reaction, Depression, ache, crying, obsessive thoughts, bite, wound, Anxiety, fatigue, stiffness, moody, withdraw, headache, gene mutation",58.72%
629,Depo-Medrol," Inflammatory Conditions, Osteoarthritis, Rheumatoid Arthritis","fall, retch, pain, swelling, stress, myalgia",51.49%
630,Depo-Provera,"Abnormal Uterine Bleeding, Birth Control","elation, moody",12.39%
631,Depo-Testosterone,"Hypogonadism, Male","pain, blood test, suicidal, lethargy",68.01%
632,DermaZinc Shampoo,Seborrheic Dermatitis,,76.92%
633,Dermal filler,"Not Listed / Othe, acial Lipoatrophy, acial Wrinkles","pain, wound, swelling, adverse reaction",44.13%
634,DesOwen,"Eczema, Psoriasis",flare,72.66%
635,Desipramine,"Depression, Irritable Bowel Syndrome, Vulvodynia","diarrhea, flare, shortness of breath, nightmare, difficulty, pain, constipation, stress",64.09%
636,Desloratadine,"Allergic Rhinitis, Urticaria","sleepy, palpitation, tired, headache, bite, lightheadedness, Mass, pain, sneeze, stress, ache, redness",46.37%
637,Desloratadine / pseudoephedrine,Allergic Rhinitis,,53.25%
638,Desmopressin,"Diabetes Insipidus, Not Listed / Othe, Primary Nocturnal Enuresis","pain, blood test, flushing",67.49%
639,Desogestrel / ethinyl estradiol,"Abnormal Uterine Bleeding, Birth Control, Endometriosis, Polycystic Ovary Syndrome","hyperandrogenism, dependence, seizure, anger, fall, tired, Crying, vomiting, heartburn, redness, constipation, depressed mood, sweat, hunger, surgery, suicidal, fever, numbness, Embolism, side pain, panic, elation, pregnancy test, pain, paresis, stress, Depression, heavy feeling, ache, diarrhea, unhappy, crying, nausea, fatigue, nightmare, weight gain, terrify, cough, binge eating, dizziness, dizzy spells, Mood swings, worry, underweight, moody, palpitation, withdraw, shooting pain, hormone therapy, myomectomy, headache, lightheadedness, birth control, deja vu, alcohol intolerance, increased appetite",41.01%
640,Desonate,Eczema,cough,76.00%
641,Desonide,"Atopic Dermatitis, Dermatitis, Eczema, Psoriasis","pain, burning sensation, swelling, redness",66.14%
642,Desoximetasone,"Atopic Dermatitis, Dermatitis, Eczema, Psoriasis","adverse effect, scratch, tanning, retch, pain, redness",60.21%
643,Desoxyn,"ADHD, Obesity","Depression, amphetamines, fatigue, stress",72.08%
644,Desquam-X Wash,Acne,,73.22%
645,Desvenlafaxine,"ADHD, Anxiety, Bipolar Disorde, Depression, Hot Flashes, Major Depressive Disorde, Narcolepsy, Not Listed / Othe, Obesity, Panic Disorde, Post Traumatic Stress Disorde, Postmenopausal Symptoms, ibromyalgia","anger, fall, tired, vomiting, heartburn, pain management, feeling hopeless, Fatigue, exhaustion, surgery, tremor, diarrhea, unhappy, bite, wound, Anxiety, weight gain, fatigue, retch, difficulty, dizzy spells, flushing, worry, alcoholic, anorgasmia, redness, mania, dependence, chronic fatigue syndrome, menopausal symptoms, sleeplessness, adverse effect, Paranoia, constipation, sweat, hunger, drowsiness, suicidal, numbness, mammogram, excruciating pain, aggression, unwell, tubal ligation, ache, crying, colonoscopy, binge eating, negative thoughts, rale, Mood swings, sleep paralysis, groggy, Pain, postpartum depression, stupor, seizure, psychotherapy, gag, anxiety disorder, Dizziness, withdrawal syndrome, overweight, pain, Depression, Headache, electric shock, tinnitus, rebound effect, hangover, smoker, nausea, cough, vertigo, weepiness, Insomnia, stiffness, withdraw, shooting pain, Nausea, lethargy, food craving, sleepy, bed rest, agitation, biopsy, myalgia, blood test, panic, elevated mood, elation, screaming, Agitation, stress, heavy feeling, paresthesia, yawning, nightmare, dizziness, Constipation, fear of falling, hysterectomy, chill, moody, palpitation, spasm, night sweat, flare, headache, birth control",53.07%
646,Desyrel,"Anxiety, Depression, Insomnia, Major Depressive Disorde, Sedation, ibromyalgia","palpitation, withdraw, fall, headache, tired, stuffy nose, ache, weight gain, groggy, pain, depressive symptom, myalgia, worry, anxiety disorder",47.97%
647,Desyrel Dividose,"Insomnia, Sedation",,60.78%
648,Devrom,Gas,flatulence,74.05%
649,Dexamethasone,"Addison's Disease, Aphthous Ulce, Cerebral Edema, Conjunctivitis, Eczema, Gouty Arthritis, Idiopathic Thrombocytopenic Purpura, Inflammatory Conditions, Lymphoma, Nausea/Vomiting, Chemotherapy Induced, Not Listed / Othe, Plaque Psoriasis, Ulcerative Colitis","sleeplessness, anger, fall, tired, vomiting, sweat, agitation, myalgia, surgery, suicidal, fever, aggression, pain, nausea and vomiting, ache, diarrhea, nausea, fatigue, weight gain, cough, Insomnia, dizziness, life support, swelling, cold sweat, withdraw, flare, headache, shortness of breath, increased appetite",52.15%
650,Dexamethasone / neomycin / polymyxin b,"Blepharitis, Conjunctivitis, Bacterial",,55.18%
651,Dexamethasone / tobramycin,"Conjunctivitis, Bacterial, Postoperative Ocular Inflammation","pain, swelling, surgery",65.92%
652,Dexamethasone Intensol,"Inflammatory Conditions, Nausea/Vomiting, Chemotherapy Induced","fall, pain, sleeplessness",65.44%
653,Dexbrompheniramine / pseudoephedrine,"Allergic Rhinitis, Cold Symptoms, Nasal Congestion, Sinus Symptoms","fever, nausea",69.51%
654,Dexchlorpheniramine,"Allergic Reactions, Allergic Rhinitis","cough, fever, drowsiness",49.72%
655,Dexchlorpheniramine / dextromethorphan / pseudoephedrine,Sinusitis,cough,60.60%
656,Dexedrine,"ADHD, Hypersomnia, Narcolepsy, Sexual Dysfunction, SSRI Induced","mania, anger, fall, tired, agitation, gag, anxiety disorder, suicidal, Asthma, aggression, overweight, traction, stress, ache, rebound effect, nausea, wound, Anxiety, fatigue, difficulty, worry, alcoholic, headache, groggy, anorgasmia, sleep attacks, redness",63.63%
657,Dexilant,"2 Barrett's Esophagus, Erosive Esophagitis, GERD","seizure, adverse effect, anger, tired, flatulence, vomiting, endoscopy, heartburn, constipation, gag, surgery, fever, side pain, panic, screaming, pain, burning sensation, paresis, stress, ache, diarrhea, crying, nausea, fatigue, cough, colonoscopy, difficulty, dizziness, worry, palpitation, spasm, flare, headache, shortness of breath, Pain, redness",49.81%
658,Dexlansoprazole,GERD,"diarrhea, nausea, panic, heartburn, pain, surgery",40.36%
659,Dexmethylphenidate,"ADHD, Auditory Processing Disorde","mania, panic, tired",49.75%
660,Dexpanthenol,Dry Skin,wound,74.50%
661,Dextroamphetamine,"ADHD, Hypersomnia, Narcolepsy, Sexual Dysfunction, SSRI Induced, atigue","mania, amphetamines, dependence, sleepy, fall, headache, tired, fatigue, ache, groggy, pain, stress, Fatigue, Mania",64.61%
662,Dextromethorphan,Cough,"retrograde amnesia, non-productive cough, diarrhea, numbness, night sweat, barking cough, fall, nausea, elation, vomiting, nightmare, Fall, vertigo, pain, cough, dizziness, sweat, constipation, productive cough, Cough",28.43%
663,Dextromethorphan / guaifenesin,Cough,"cough, headache, ache",31.94%
664,Dextromethorphan / guaifenesin / phenylephrine,Cough and Nasal Congestion,"cough, headache, ache, palpitation",39.84%
665,Dextromethorphan / guaifenesin / pseudoephedrine,Cough and Nasal Congestion,cough,71.41%
666,Dextromethorphan / promethazine,"Cold Symptoms, Cough",cough,52.30%
667,Dextromethorphan / quinidine,Pseudobulbar Affect,"anger, crying, aggression, difficulty, stress",61.47%
668,Dextrostat,"ADHD, Narcolepsy, Sexual Dysfunction, SSRI Induced","adverse effect, panic, fatigue, panic disorder with agoraphobia, myalgia",71.17%
669,Di-Gel,Gas,,88.00%
670,Diamox,"Glaucoma, Mountain Sickness / Altitude Sickness, Pseudotumor Cerebri","fall, tired, constipation, surgery, tunnel vision, numbness, pain, Headache, tinnitus, ache, diarrhea, Hypertension, nausea, Tinnitus, fatigue, dizziness, swelling, palpitation, headache, Hypothyroidism, lumbar puncture, birth control, Nausea, lethargy",44.87%
671,Diamox Sequels,"Edema, Pseudotumor Cerebri","Hypertension, headache, nausea, fatigue, lumbar puncture, ache",59.43%
672,Diastat,"Muscle Spasm, Seizures",seizure,73.06%
673,Diazepam,"Alcohol Withdrawal, Anxiety, Borderline Personality Disorde, Endoscopy or Radiology Premedication, ICU Agitation, Light Anesthesia, Light Sedation, Meniere's Disease, Muscle Spasm, Night Terrors, Not Listed / Othe, Seizure Prevention, Seizures, Status Epilepticus, Temporomandibular Joint Disorde, Tetanus","nerve block, sleepy, Sleep disorder, seizure, chest tightness, anger, fall, tired, acupuncture, vomiting, alcoholism, piriformis syndrome, pain management, Stress, sweat, agitation, nervousness, hunger, myalgia, surgery, anxiety disorder, drowsiness, Tachycardia, suicidal, numbness, sciatica, panic, elation, screaming, pain, tremor, analgesia, stress, Depression, erectile dysfunction, divorced, aura, tinnitus, ache, rebound effect, massage, hangover, bereavement, claustrophobia, unable to concentrate, crying, nausea, bite, fatigue, Anxiety, nightmare, retch, colonoscopy, septoplasty, vertigo, dizziness, dizzy spells, sports injury, worry, chill, drowning, moody, cold sweat, palpitation, frustration, spasm, withdraw, flare, alcoholic, headache, shortness of breath, groggy, Pain, personality change, bedridden, opiates, redness",64.26%
