drugName,condition,Side_Effect,effectiveness
Dasatinib,"Chronic Myelogenous Leukemia, Not Listed / Othe","transfusion, tired, headache, nausea, difficulty, pain, vertigo, dizziness, constipation, ache",62.96%
Daypro,"Osteoarthritis, Rheumatoid Arthritis","pain, dizziness",49.14%
Daytrana, ADHD,"scratch, seizure, withdraw, tanning, fall, headache, nausea, tired, elation, nightmare, weight gain, aggression, difficulty, worry, sweat, stress, ache, autism, anxiety disorder, redness",61.24%
Dazidox,Chronic Pain,"pain, breakthrough pain",72.00%
Decadron,"Allergic Rhinitis, Asthma, Croup, Dermatitis Herpetiformis, Inflammatory Conditions, Multiple Sclerosis","diarrhea, anger, headache, vomiting, stridor, difficulty, pain, Headache, ache",46.61%
Deconamine,Allergic Rhinitis,"cough, fall",69.92%
Delatestryl,"Hypogonadism, Male","pain, lethargy",68.63%
Delsym,Cough,"tired, vomiting, gurgle, sweat, blood test, panic, traction, pain, ache, Cough, scratch, diarrhea, crying, nausea, blackout, cough, colonoscopy, dizziness, chill, palpitation, barking cough, headache, shortness of breath, dry throat",21.52%
Delsym 12 Hour Cough Relief,Cough,"diarrhea, fall, nausea, cough, difficulty, pain, wheezing",36.26%
Demeclocycline,SIADH,"hyponatremia, adverse effect",56.81%
Denosumab,"Hypercalcemia of Malignancy, Osteolytic Bone Metastases of Solid Tumors, Osteoporosis","chest tightness, withdraw, anger, tired, ache, pain, myalgia",15.64%
Deoxycholic acid,Submental Fullness,"headache, ache",38.59%
Deplin,"1 3 4 Borderline Personality Disorde, Depression, lic Acid Deficiency","adverse effect, anger, fall, tired, muscle twitch, mental disorder, Stress, agitation, myalgia, no adverse effect, suicidal, Autism, blood test, panic, pain, adverse reaction, Depression, ache, crying, obsessive thoughts, bite, wound, Anxiety, fatigue, stiffness, moody, withdraw, headache, gene mutation",58.72%
Depo-Medrol," Inflammatory Conditions, Osteoarthritis, Rheumatoid Arthritis","fall, retch, pain, swelling, stress, myalgia",51.49%
Depo-Provera,"Abnormal Uterine Bleeding, Birth Control","elation, moody",12.39%
Depo-Testosterone,"Hypogonadism, Male","pain, blood test, suicidal, lethargy",68.01%
Dermal filler,"Not Listed / Othe, acial Lipoatrophy, acial Wrinkles","pain, wound, swelling, adverse reaction",44.13%
DesOwen,"Eczema, Psoriasis",flare,72.66%
Desipramine,"Depression, Irritable Bowel Syndrome, Vulvodynia","diarrhea, flare, shortness of breath, nightmare, difficulty, pain, constipation, stress",64.09%
Desloratadine,"Allergic Rhinitis, Urticaria","sleepy, palpitation, tired, headache, bite, lightheadedness, Mass, pain, sneeze, stress, ache, redness",46.37%
Desmopressin,"Diabetes Insipidus, Not Listed / Othe, Primary Nocturnal Enuresis","pain, blood test, flushing",67.49%
Desogestrel / ethinyl estradiol,"Abnormal Uterine Bleeding, Birth Control, Endometriosis, Polycystic Ovary Syndrome","hyperandrogenism, dependence, seizure, anger, fall, tired, Crying, vomiting, heartburn, redness, constipation, depressed mood, sweat, hunger, surgery, suicidal, fever, numbness, Embolism, side pain, panic, elation, pregnancy test, pain, paresis, stress, Depression, heavy feeling, ache, diarrhea, unhappy, crying, nausea, fatigue, nightmare, weight gain, terrify, cough, binge eating, dizziness, dizzy spells, Mood swings, worry, underweight, moody, palpitation, withdraw, shooting pain, hormone therapy, myomectomy, headache, lightheadedness, birth control, deja vu, alcohol intolerance, increased appetite",41.01%
Desonate,Eczema,cough,76.00%
Desonide,"Atopic Dermatitis, Dermatitis, Eczema, Psoriasis","pain, burning sensation, swelling, redness",66.14%
Desoximetasone,"Atopic Dermatitis, Dermatitis, Eczema, Psoriasis","adverse effect, scratch, tanning, retch, pain, redness",60.21%
Desoxyn,"ADHD, Obesity","Depression, amphetamines, fatigue, stress",72.08%
Desvenlafaxine,"ADHD, Anxiety, Bipolar Disorde, Depression, Hot Flashes, Major Depressive Disorde, Narcolepsy, Not Listed / Othe, Obesity, Panic Disorde, Post Traumatic Stress Disorde, Postmenopausal Symptoms, ibromyalgia","anger, fall, tired, vomiting, heartburn, pain management, feeling hopeless, Fatigue, exhaustion, surgery, tremor, diarrhea, unhappy, bite, wound, Anxiety, weight gain, fatigue, retch, difficulty, dizzy spells, flushing, worry, alcoholic, anorgasmia, redness, mania, dependence, chronic fatigue syndrome, menopausal symptoms, sleeplessness, adverse effect, Paranoia, constipation, sweat, hunger, drowsiness, suicidal, numbness, mammogram, excruciating pain, aggression, unwell, tubal ligation, ache, crying, colonoscopy, binge eating, negative thoughts, rale, Mood swings, sleep paralysis, groggy, Pain, postpartum depression, stupor, seizure, psychotherapy, gag, anxiety disorder, Dizziness, withdrawal syndrome, overweight, pain, Depression, Headache, electric shock, tinnitus, rebound effect, hangover, smoker, nausea, cough, vertigo, weepiness, Insomnia, stiffness, withdraw, shooting pain, Nausea, lethargy, food craving, sleepy, bed rest, agitation, biopsy, myalgia, blood test, panic, elevated mood, elation, screaming, Agitation, stress, heavy feeling, paresthesia, yawning, nightmare, dizziness, Constipation, fear of falling, hysterectomy, chill, moody, palpitation, spasm, night sweat, flare, headache, birth control",53.07%
Desyrel,"Anxiety, Depression, Insomnia, Major Depressive Disorde, Sedation, ibromyalgia","palpitation, withdraw, fall, headache, tired, stuffy nose, ache, weight gain, groggy, pain, depressive symptom, myalgia, worry, anxiety disorder",47.97%
Devrom,Gas,flatulence,74.05%
Dexamethasone,"Addison's Disease, Aphthous Ulce, Cerebral Edema, Conjunctivitis, Eczema, Gouty Arthritis, Idiopathic Thrombocytopenic Purpura, Inflammatory Conditions, Lymphoma, Nausea/Vomiting, Chemotherapy Induced, Not Listed / Othe, Plaque Psoriasis, Ulcerative Colitis","sleeplessness, anger, fall, tired, vomiting, sweat, agitation, myalgia, surgery, suicidal, fever, aggression, pain, nausea and vomiting, ache, diarrhea, nausea, fatigue, weight gain, cough, Insomnia, dizziness, life support, swelling, cold sweat, withdraw, flare, headache, shortness of breath, increased appetite",52.15%
Dexamethasone / tobramycin,"Conjunctivitis, Bacterial, Postoperative Ocular Inflammation","pain, swelling, surgery",65.92%
Dexamethasone Intensol,"Inflammatory Conditions, Nausea/Vomiting, Chemotherapy Induced","fall, pain, sleeplessness",65.44%
Dexbrompheniramine / pseudoephedrine,"Allergic Rhinitis, Cold Symptoms, Nasal Congestion, Sinus Symptoms","fever, nausea",69.51%
Dexchlorpheniramine,"Allergic Reactions, Allergic Rhinitis","cough, fever, drowsiness",49.72%
Dexchlorpheniramine / dextromethorphan / pseudoephedrine,Sinusitis,cough,60.60%
Dexedrine,"ADHD, Hypersomnia, Narcolepsy, Sexual Dysfunction, SSRI Induced","mania, anger, fall, tired, agitation, gag, anxiety disorder, suicidal, Asthma, aggression, overweight, traction, stress, ache, rebound effect, nausea, wound, Anxiety, fatigue, difficulty, worry, alcoholic, headache, groggy, anorgasmia, sleep attacks, redness",63.63%
Dexilant,"2 Barrett's Esophagus, Erosive Esophagitis, GERD","seizure, adverse effect, anger, tired, flatulence, vomiting, endoscopy, heartburn, constipation, gag, surgery, fever, side pain, panic, screaming, pain, burning sensation, paresis, stress, ache, diarrhea, crying, nausea, fatigue, cough, colonoscopy, difficulty, dizziness, worry, palpitation, spasm, flare, headache, shortness of breath, Pain, redness",49.81%
Dexlansoprazole,GERD,"diarrhea, nausea, panic, heartburn, pain, surgery",40.36%
Dexmethylphenidate,"ADHD, Auditory Processing Disorde","mania, panic, tired",49.75%
Dexpanthenol,Dry Skin,wound,74.50%
Dextroamphetamine,"ADHD, Hypersomnia, Narcolepsy, Sexual Dysfunction, SSRI Induced, atigue","mania, amphetamines, dependence, sleepy, fall, headache, tired, fatigue, ache, groggy, pain, stress, Fatigue, Mania",64.61%
Dextromethorphan,Cough,"retrograde amnesia, non-productive cough, diarrhea, numbness, night sweat, barking cough, fall, nausea, elation, vomiting, nightmare, Fall, vertigo, pain, cough, dizziness, sweat, constipation, productive cough, Cough",28.43%
Dextromethorphan / guaifenesin,Cough,"cough, headache, ache",31.94%
Dextromethorphan / guaifenesin / phenylephrine,Cough and Nasal Congestion,"cough, headache, ache, palpitation",39.84%
Dextromethorphan / guaifenesin / pseudoephedrine,Cough and Nasal Congestion,cough,71.41%
Dextromethorphan / promethazine,"Cold Symptoms, Cough",cough,52.30%
Dextromethorphan / quinidine,Pseudobulbar Affect,"anger, crying, aggression, difficulty, stress",61.47%
Dextrostat,"ADHD, Narcolepsy, Sexual Dysfunction, SSRI Induced","adverse effect, panic, fatigue, panic disorder with agoraphobia, myalgia",71.17%
Diamox,"Glaucoma, Mountain Sickness / Altitude Sickness, Pseudotumor Cerebri","fall, tired, constipation, surgery, tunnel vision, numbness, pain, Headache, tinnitus, ache, diarrhea, Hypertension, nausea, Tinnitus, fatigue, dizziness, swelling, palpitation, headache, Hypothyroidism, lumbar puncture, birth control, Nausea, lethargy",44.87%
Diamox Sequels,"Edema, Pseudotumor Cerebri","Hypertension, headache, nausea, fatigue, lumbar puncture, ache",59.43%
Diastat,"Muscle Spasm, Seizures",seizure,73.06%
Diazepam,"Alcohol Withdrawal, Anxiety, Borderline Personality Disorde, Endoscopy or Radiology Premedication, ICU Agitation, Light Anesthesia, Light Sedation, Meniere's Disease, Muscle Spasm, Night Terrors, Not Listed / Othe, Seizure Prevention, Seizures, Status Epilepticus, Temporomandibular Joint Disorde, Tetanus","nerve block, sleepy, Sleep disorder, seizure, chest tightness, anger, fall, tired, acupuncture, vomiting, alcoholism, piriformis syndrome, pain management, Stress, sweat, agitation, nervousness, hunger, myalgia, surgery, anxiety disorder, drowsiness, Tachycardia, suicidal, numbness, sciatica, panic, elation, screaming, pain, tremor, analgesia, stress, Depression, erectile dysfunction, divorced, aura, tinnitus, ache, rebound effect, massage, hangover, bereavement, claustrophobia, unable to concentrate, crying, nausea, bite, fatigue, Anxiety, nightmare, retch, colonoscopy, septoplasty, vertigo, dizziness, dizzy spells, sports injury, worry, chill, drowning, moody, cold sweat, palpitation, frustration, spasm, withdraw, flare, alcoholic, headache, shortness of breath, groggy, Pain, personality change, bedridden, opiates, redness",64.26%
Dibucaine,Anal Itching,surgery,71.24%
Diclegis,Nausea/Vomiting of Pregnancy,"sleepy, anger, fall, tired, vomiting, heartburn, constipation, sweat, gag, suicidal, drowsiness, Dizziness, pain, nausea and vomiting, overdose, ache, hangover, nausea, fatigue, nightmare, dizziness, withdraw, headache, Nausea, redness",48.57%
Diclofenac,"Ankylosing Spondylitis, Back Pain, Migraine, Muscle Pain, Not Listed / Othe, Osteoarthritis, Pain, Period Pain, Postoperative Ocular Inflammation, Rheumatoid Arthritis, Sciatica, zen Shoulde","chest tightness, Inflammation, sinus pain, fall, tired, vomiting, heartburn, pain management, constipation, sweat, Sciatica, myalgia, surgery, Fear, fever, numbness, side pain, sciatica, excruciating pain, food intolerance, traction, pain, burning sensation, uterine pain, x-ray, ache, Surgery, hot flush, yawning, scratch, diarrhea, unhappy, chondritis, nausea, fatigue, nightmare, weight gain, retch, ammonia, cough, dizziness, swelling, stiffness, delivery, palpitation, spasm, flare, headache, tooth extraction, groggy, Pain",55.57%
Diclofenac / misoprostol,"Osteoarthritis, Sciatica","nausea, pain, hunger, weight gain",46.92%
Dicloxacillin,"Bone infection, Skin or Soft Tissue Infection","nausea, dizziness",58.50%
Dicyclomine,"Irritable Bowel Syndrome, Noninfectious Colitis","mania, sleepy, fall, tired, vomiting, endoscopy, gurgle, heartburn, constipation, sweat, Glaucoma, agitation, nervousness, surgery, drowsiness, Anxiety disorder, fever, panic, traction, pain, burning sensation, tremor, stress, Headache, x-ray, paresis, ache, Vomiting, diarrhea, nausea, Anxiety, nightmare, retch, colonoscopy, Hiatus hernia, dizziness, Colitis, anorexia, Mania, worry, chill, spasm, flare, Chest pain, headache, groggy, Pain, opiates, redness",55.74%
Didrex,Obesity,"headache, ache",67.61%
Dienogest / estradiol,"Birth Control, Menorrhagia","anger, fall, tired, vomiting, sweat, fever, transfusion, excruciating pain, elation, pain, ache, smoker, crying, nausea, nightmare, weight gain, worry, moody, hysterectomy, night sweat, headache, birth control, increased appetite",47.23%
Diethylpropion,"Not Listed / Othe, Obesity","sleepy, palpitation, withdraw, unhappy, fall, headache, bite, tired, elation, weight gain, muscle mass, overweight, constipation, dizziness, sweat, hunger, nervousness, ache, hysterectomy",67.37%
Dificid,Clostridial Infection,"pain, ache",49.48%
Diflorasone,"Eczema, Skin Rash",sweat,67.95%
Diflunisal,"Osteoarthritis, Pain, Rheumatoid Arthritis","pain, Pain",65.29%
Difluprednate,"Postoperative Ocular Inflammation, Uveitis","flare, Uveitis, pain, surgery, redness",49.49%
Digoxin,"Atrial Fibrillation, Heart Failure","anorexia, pain, chest discomfort, tired",42.94%
Dihydroergotamine,Migraine,"pain, panic, anxiety disorder",37.78%
Diltiazem,"Angina Pectoris Prophylaxis, Atrial Fibrillation, Atrial Flutte, High Blood Pressure, Not Listed / Othe, Raynaud's Syndrome, Supraventricular Tachycardia","sleepy, chest tightness, cardiac ablation, adverse effect, angiogram, fall, tired, hoarseness, Fasting, constipation, Stress, sweat, myalgia, no adverse effect, Tachycardia, blood test, panic, unwell, overweight, pain, kidney infection, stress, drug interaction, tinnitus, ache, diarrhea, nausea, fatigue, nightmare, weight gain, terrify, difficulty, dizziness, life support, swelling, cardioversion, palpitation, spasm, Atrial fibrillation, headache, shortness of breath, groggy, redness",53.80%
Dimenhydrinate,"Insomnia, Motion Sickness, Nausea/Vomiting, Not Listed / Othe","sleepy, hangover, anger, tired, nausea, vomiting, vertigo, pain, nausea and vomiting, dizziness, agitation, tinnitus, ache, worry, drowsiness",69.95%
Dimetapp Children's Cold & Cough,Cough and Nasal Congestion,cough,0.32%
Dimethyl fumarate,Multiple Sclerosis,"panic, lesion",42.41%
Dimethyl sulfoxide,Not Listed / Othe,"fever, pain, ache",73.27%
Diovan,"3 High Blood Pressure, Left Ventricular Dysfunction","palpitation, diarrhea, fall, headache, shortness of breath, nausea, fatigue, vomiting, cardiac monitoring, lethargy, weight gain, tired, Alopecia, pain, dizziness, cough, erectile dysfunction, nausea and vomiting, ache, redness",46.28%
Diovan HCT,High Blood Pressure,"headache, panic, lightheadedness, cough, Wound, pain, nervousness, ache",52.92%
Diphenhydramine,"Allergic Reactions, Allergic Rhinitis, Cold Symptoms, Cough, Insomnia, Motion Sickness, Nausea/Vomiting, Urticaria","sleepy, fever, hangover, spasm, fall, headache, nausea, tired, nightmare, groggy, cough, difficulty, pain, Insomnia, dizziness, adverse reaction, stress, aura, ache, drowsiness",51.70%
Diphenhydramine / hydrocortisone,Pruritus,bite,81.25%
Diphenhydramine / naproxen,"Insomnia, Pain","fall, ache, vomiting, pain, pain back, myalgia, worry",44.36%
Diphenhydramine / phenylephrine,Allergic Rhinitis,fever,47.50%
Diphenhydramine / pseudoephedrine,Allergic Rhinitis,groggy,69.90%
Disulfiram,Alcohol Dependence,"fever, hangover, alcohol problem, alcoholic, alcoholism, gag",46.03%
Ditropan,"Overactive Bladde, Urinary Incontinence","bladder spasm, spasm, anger, nausea, difficulty, pain, constipation, prostatectomy, sweat, drowsiness",30.14%
Divalproex sodium,"Bipolar Disorde, Borderline Personality Disorde, Epilepsy, Hyperekplexia, Mania, Migraine Prevention, Not Listed / Othe","mania, sleepy, menopausal symptoms, seizure, anger, fall, tired, visual disturbance, alcoholism, vomiting, heartburn, redness, prostatectomy, sweat, agitation, nervousness, hunger, drowsiness, suicidal, fever, Autism, blood test, Hepatitis, panic, elation, migraine with aura, Epilepsy, overweight, pain, thicken, tremor, stress, erectile dysfunction, aura, ache, Migraine, diarrhea, crying, nausea, postmenopause, wound, fatigue, nightmare, weight gain, terrify, difficulty, feeling guilty, dizziness, Mania, worry, moody, alcoholic, headache, groggy, radical prostatectomy, low back pain, personality change, bedridden, increased appetite",48.04%
